event,event_label,domain_tbl,concept_field,date_field,codeset_name,filter_logic
A,Hydroxyurea prescription,drug_exposure,drug_concept_id,drug_exposure_start_date,rx_hydroxyurea,drug_type_concept_id == 38000177
B,Hydroxyurea admin,drug_exposure,drug_concept_id,drug_exposure_start_date,rx_hydroxyurea,drug_type_concept_id == 38000180
