concept_id
QDAY
Once a day
on call
Every forty eight hours
IVIG (ONCE)
"Twice a day for 1 week, then once daily"
2 TIMES WEEKLY
OCTOR
EVERY 1 HOUR
EVERY 3 DAYS
EVERY DAY AT 12:00 (LUNCH)
qn4-6 hrs and 20 min prioir to exercise
Once during procedure
BID Q2DAY
once a day to increase in the fall (after 1st cold) to 2 puffs bid
"EVERY MO, WE & FR"
GIVEN INTRA-OP
Two times daily as required
Three times a day with meals
BID Sat Sun
"as needed, no more than 3 days/week"
HOME USE PRN (FOR ED USE ONLY)
Every two minutes
"Every Mo, Tu, We & Th"
EVERY 1-2 HOURS AS NEEDED
with mdi
every other night x 2 weeks then nightly
Q 6 hrs PRN
Twice a day prn sick plan
"Every Monday, Thursday"
q3months
CONTINUOUS PRN
Every Sunday
Q 2 hrs
Q 7 DAYS
Every 4 hours while awake
Every day at noon
Q48H-AM
"qM-S, 2 pill PO Sundayx 3 pills"
With diaper changes until resolved
every six hours as needed for pain >5
EVERY 20 MINUTES PRN
EVERY 2 HOURS AS NEEDED
q14days
2 TIMES DAILY WITH MEALS
Every Monday
Every 12 hrs PRN
2 times daily L/D
FIVE TIMES PER WEEK
Every four hours whilst awake
4 times a day PRN
every 6 - 8 hours when needed
BEFORE LUNCH
one time in office
"EVERY TU, TH & SA BID"
Twice daily for 3 days pre-operatively
3
qd to bid PRN
Hourly
PRN PER HEPARIN PROTOCOL
Every 24 hrs PRN
3 TIMES DAILY WITH MEALS
ON CALL TO OR
Intra-op PRN
"Twice a day when well, QID when sick"
Every other evening
Once a day during allergy season
AFTER BREAKFAST
OVER 24 HOURS
Three Times Weekly
"Once a week, as directed"
ED EVERY 15 MIN PRN
Every 5 min
Once a day per strep dosing
PRN
Once
"Once a day, at bedtime"
"4 TIMES DAILY (BEFORE MEALS, AT BEDTIME)"
EVERY 5 DAYS
EVERY 3 HOURS WHILE AWAKE
take 1 teaspoon once a day
"EVERY MON, TUE, WED, THU, FRI"
qMWFSa
pm only
Every 20 minutes as needed
EVERY 2 WEEKS PRN
once per day in AM
onetime HOLD at bedside x24 hrs (ICU ONLY)
every 4-6 hours prn for feve
Every 6 Hrs
OR USE ONLY (OPTIME)
Intra-op continuous PRN
3 times a day (before meals)
every 4-6 hours PRN cough/wheezing
4 times a day (Before meals & at bedtime)
once a day with meals or milk
"once, twice on Sundays"
Read Skin Test
WITH SNACKS AS NEEDED
Every 8 hours for pain score <4
take 3/4 teaspoon three times a day
every 6 hrs as needed for fever or aches
every 6 hrs as needed for pain >5
every 4 hrs PRN and prior to and after sports
once PRN
EVERY MORNING
4 TIMES DAILY
EVERY 30 MIN PRN
NIGHTLY AT BEDTIME
"EVERY FRI, SAT, SUN"
PRN PER DIALYSIS TREATMENT
AT BEDSIDE AS NEEDED
BOLUS
Every 6 hours while awake
Every 7 days
4 TIMES DAILY WITH MEALS
2 times a day (before meals)
every 4 hours as needed and 20 minutes prior to exercise
Eight times daily
pre op x1
EVERY 6 DAYS
Once daily - increase to twice daily on sick plan
with 360 mg
Every 8 hrs PRN
800 mg daily per Heme
EVERY 2 DAYS
Every 4 hours as needed for pain or fever over 101
every thre menths
ONCE A DAY
AT BEDTIME
3 TIMES DAILY PRN
NIGHTLY PRN
qTu
EVERY 4 WEEKS
CONTINUOUS TUBE FEED
EVERY SUNDAY
TPN NEONATAL
Daily WF
Twice a day not more than 10 days in a row
EVERY TU & FR
EVERY 12 WEEKS
qTuThSa
Q 8 hrs (standard times)
every 6 hrs prn fever/cough
every 6 - 8 hrs prn cough
INTRAOP ONLY
Q 12 hrs
