specialty_concept_id,specialty_concept_name,specialty_name
38004087,Pediatrics Occupational Therapist,Rehabilitative Medicine
38003810,Pharmacist,Pharmacy
38003819,Pharmacy Technician,Pharmacy
38004468,Physical Medicine And Rehabilitation,Rehabilitative Medicine
38004490,Physical Therapist,Rehabilitative Medicine
38004512,Physician Assistant,Other/Unknown
38004369,"Physician Assistants & Advanced Practice Nursing Providers, Physician Assistant",Other/Unknown
38004467,Plastic And Reconstructive Surgery,Misc. Surgery
38003627,Professional Behavioral Health Counselor,Psychology
38004469,Psychiatry,Psychology
45756824,Public Health and General Preventive Medicine,General Pediatrics
38004472,Pulmonary Disease,Pulmonology
38004509,Radiation Oncology,Oncology
45756825,Radiology,Radiology
38003690,Registered Dietitian,Nutrition
38004694,Registered Dietitian or Nutrition Professional,Nutrition
38003716,Registered Nurse,Other/Unknown
38003691,Registered Pediatric Dietitian,Nutrition
38003752,Registered Psych / Mental Health Nurse,Psychology
45756826,Reproductive Endocrinology / Infertility,Endocrinology
38004076,"Respiratory, Developmental, Rehabilitative and Restorative Service Providers, Occupational Therapist",Rehabilitative Medicine
38004491,Rheumatology,Rheumatology
45756827,Sleep Medicine,Sleep Medicine
38003959,Sleep Pediatrics,Sleep Medicine
38004499,Social Worker,Social Work
38003794,Specialist,Other/Unknown
38004125,"Speech, Language and Hearing Service Providers, Speech-Language Pathologist",Rehabilitative Medicine
38004122,"Speech, Language and Hearing Specialist / Technologist",Rehabilitative Medicine
45756828,Sports Medicine,Rehabilitative Medicine
38004445,Student,Other/Unknown
38004155,"Technologist, Technician and Other Technical Service Provider",Other/Unknown
45756830,Thoracic and Cardiac Surgery,Cardiology
38004473,Thoracic Surgery,Cardiology
45756831,Transplant Hepatology,Transplant
38003827,Transplant Surgery,Transplant
38004514,Unknown Physician Specialty,Other/Unknown
38004474,Urology,Urology
45756833,Vascular and Interventional Radiology,Cardiology
38004496,Vascular Surgery,Cardiology
