concept_id,concept_code,concept_name,vocabulary_id,ingredient
36262718,OMOP3113593,Naloxone 8 MG / Tilidine 100 MG Extended Release Oral Capsule [Valtran],RxNorm Extension,tilidine
36264356,OMOP3115231,Naloxone / Tilidine Extended Release Oral Capsule,RxNorm Extension,tilidine
36264483,OMOP3115358,Naloxone / Tilidine Extended Release Oral Capsule [Valtran],RxNorm Extension,tilidine
36265288,OMOP3116163,Naloxone 12 MG / Tilidine 150 MG Extended Release Oral Capsule [Valtran],RxNorm Extension,tilidine
36266749,OMOP3117624,Naloxone 4 MG / Tilidine 50 MG [Valtran],RxNorm Extension,tilidine
36267298,OMOP3118173,Naloxone 12 MG / Tilidine 150 MG Extended Release Oral Capsule,RxNorm Extension,tilidine
36269294,OMOP3120169,Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML [Valtran],RxNorm Extension,tilidine
36269837,OMOP3120712,Naloxone 8 MG / Tilidine 100 MG Extended Release Oral Capsule,RxNorm Extension,tilidine
36272016,OMOP3122891,Naloxone / Tilidine Topical Solution,RxNorm Extension,tilidine
36274366,OMOP3125241,Naloxone 8 MG / Tilidine 100 MG [Valtran],RxNorm Extension,tilidine
36274686,OMOP3125561,Naloxone / Tilidine Topical Solution [Valtran],RxNorm Extension,tilidine
36275525,OMOP3126400,Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran],RxNorm Extension,tilidine
36276927,OMOP3127802,Naloxone 12 MG / Tilidine 150 MG [Valtran],RxNorm Extension,tilidine
36279484,OMOP3130359,10 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran] by Pfizer,RxNorm Extension,tilidine
36279799,OMOP3130674,10 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution,RxNorm Extension,tilidine
36279886,OMOP3130761,10 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran],RxNorm Extension,tilidine
36280111,OMOP3130986,20 ML Naloxone 6.05 MG/ML / Tilidine 71.5 MG/ML Topical Solution [Valtran] by Pfizer,RxNorm Extension,tilidine
36280261,OMOP3131136,20 ML Naloxone 6.05 MG/ML / Tilidine 71.5 MG/ML Topical Solution,RxNorm Extension,tilidine
36280270,OMOP3131145,20 ML Naloxone 6.05 MG/ML / Tilidine 71.5 MG/ML Topical Solution [Valtran],RxNorm Extension,tilidine
36280793,OMOP3131668,60 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran],RxNorm Extension,tilidine
36280797,OMOP3131672,60 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution,RxNorm Extension,tilidine
36280811,OMOP3131686,60 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran] by Pfizer,RxNorm Extension,tilidine
36779042,OMOP4767356,60 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran] Box of 1 by Pfizer,RxNorm Extension,tilidine
36779043,OMOP4767357,60 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran] Box of 1,RxNorm Extension,tilidine
36779044,OMOP4767358,60 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution Box of 1,RxNorm Extension,tilidine
36779720,OMOP4768029,20 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran] Box of 1 by Pfizer,RxNorm Extension,tilidine
36779721,OMOP4768030,20 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran] Box of 1,RxNorm Extension,tilidine
36779722,OMOP4768031,20 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran],RxNorm Extension,tilidine
36779723,OMOP4768032,20 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution Box of 1,RxNorm Extension,tilidine
36779724,OMOP4768033,20 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution,RxNorm Extension,tilidine
36780280,OMOP4768581,10 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran] Box of 1 by Pfizer,RxNorm Extension,tilidine
36780281,OMOP4768582,10 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran] Box of 1,RxNorm Extension,tilidine
36780282,OMOP4768583,10 ML Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution Box of 1,RxNorm Extension,tilidine
36788382,OMOP4776638,Naloxone 12 MG / Tilidine 150 MG Extended Release Oral Tablet [Valtran] Box of 1 by Pfizer,RxNorm Extension,tilidine
36788383,OMOP4776639,Naloxone 12 MG / Tilidine 150 MG Extended Release Oral Tablet [Valtran] Box of 1,RxNorm Extension,tilidine
36788384,OMOP4776640,Naloxone 12 MG / Tilidine 150 MG Extended Release Oral Tablet [Valtran],RxNorm Extension,tilidine
36788385,OMOP4776641,Naloxone 12 MG / Tilidine 150 MG Extended Release Oral Tablet Box of 1,RxNorm Extension,tilidine
36788386,OMOP4776642,Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution [Valtran] Box of 1,RxNorm Extension,tilidine
36788387,OMOP4776643,Naloxone 6.07 MG/ML / Tilidine 71.3 MG/ML Topical Solution Box of 1,RxNorm Extension,tilidine
36788388,OMOP4776644,Naloxone 4 MG / Tilidine 50 MG Extended Release Oral Tablet [Valtran] Box of 1 by Pfizer,RxNorm Extension,tilidine
36788389,OMOP4776645,Naloxone 4 MG / Tilidine 50 MG Extended Release Oral Tablet [Valtran] Box of 1,RxNorm Extension,tilidine
36788390,OMOP4776646,Naloxone 4 MG / Tilidine 50 MG Extended Release Oral Tablet [Valtran],RxNorm Extension,tilidine
36788391,OMOP4776647,Naloxone 4 MG / Tilidine 50 MG Extended Release Oral Tablet Box of 1,RxNorm Extension,tilidine
36788392,OMOP4776648,Naloxone 8 MG / Tilidine 100 MG Extended Release Oral Tablet [Valtran] Box of 1 by Pfizer,RxNorm Extension,tilidine
